,year,target_area,no_of_place,sleepnights,accommodation,number_of_ppl,number_of_children,cost_total_trip,cost_total_per_person,satisfied,sex,age,month,living_area,target_beforesplit,transportation,reason,relationship,target_1,target_2,target_3,target_4,target_5,target_6,target_7,target_8,target_9,target_10,target_11,target_12,target_14,target_15,target_16,target_17,target_area1,target_area2,target_area3,target_area4,target_area5,target_area6,target_area7,target_area8,target_area9,target_area10,target_area11,transportation1,transportation2,transportation3,reason1,reason2,reason3,accommodation_1,accommodation_2,accommodation_3,accommodation_4,accommodation_5,accommodation_6,accommodation_7,accommodation_8,accommodation_9,accommodation_10,accommodation_11,accommodation_12,accommodation_13,accommodation_14
1097,2020.0,31350,1,0,0,2.0,0.0,104000.0,52000.0,4.0,1.0,43.0,6.0,1.0,6,1,"4,1",3,,,,,,1.0,,,,,,,,,,,31350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1098,2020.0,23310,1,0,0,3.0,0.0,150000.0,50000.0,4.0,1.0,52.0,6.0,1.0,"2,6",1,"4,5",1,,1.0,,,,1.0,,,,,,,,,,,23310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1099,2020.0,31260,1,0,0,5.0,0.0,150000.0,30000.0,4.0,2.0,28.0,6.0,1.0,"1,6",1,"4,11,3",4,1.0,,,,,1.0,,,,,,,,,,,31260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,2020.0,31280,1,0,0,20.0,0.0,30000.0,30000.0,4.0,2.0,63.0,6.0,1.0,1,7,"4,14,11",5,1.0,,,,,,,,,,,,,,,,31280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,2020.0,23310,1,0,0,3.0,0.0,130002.0,43334.0,4.0,2.0,43.0,7.0,1.0,"2,6",1,"4,2",3,,1.0,,,,1.0,,,,,,,,,,,23310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1102,2020.0,"34360,34360",2,1,3,4.0,0.0,530000.0,132500.0,4.0,1.0,28.0,7.0,1.0,"1,6",1,"4,6,2",3,1.0,,,,,1.0,,,,,,,,,,,34360,34360,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,
1103,2020.0,31370,1,0,0,4.0,0.0,165000.0,41250.0,4.0,1.0,51.0,7.0,1.0,"1,6",1,4,4,1.0,,,,,1.0,,,,,,,,,,,31370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104,2020.0,31130,1,0,0,2.0,0.0,84000.0,42000.0,4.0,2.0,28.0,7.0,1.0,"5,6",1,"2,4",3,,,,,1.0,1.0,,,,,,,,,,,31130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1105,2020.0,"32030,32030,32030",3,2,"10,10",4.0,0.0,780000.0,195000.0,4.0,1.0,36.0,7.0,1.0,"1,2,6",1,"2,11,1",3,1.0,1.0,,,,1.0,,,,,,,,,,,32030,32030,32030,,,,,,,,,,,,,,,10.0,10.0,,,,,,,,,,,,
1106,2020.0,"32410,32410,32410",3,2,"3,3",4.0,0.0,585000.0,146250.0,4.0,2.0,27.0,8.0,1.0,"1,6",1,"2,1",3,1.0,,,,,1.0,,,,,,,,,,,32410,32410,32410,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,
1107,2020.0,"32010,32010",2,1,3,2.0,0.0,230000.0,115000.0,4.0,1.0,28.0,8.0,1.0,"1,6",1,"2,4",3,1.0,,,,,1.0,,,,,,,,,,,32010,32010,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,
1108,2020.0,23070,1,0,0,5.0,0.0,150000.0,30000.0,4.0,1.0,52.0,8.0,1.0,"1,6",1,11,5,1.0,,,,,1.0,,,,,,,,,,,23070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1109,2020.0,31230,1,0,0,4.0,0.0,150000.0,37500.0,4.0,2.0,53.0,8.0,1.0,6,1,"4,8",3,,,,,,1.0,,,,,,,,,,,31230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,2020.0,31380,1,0,0,2.0,0.0,90000.0,45000.0,4.0,1.0,28.0,9.0,1.0,"1,6",1,"4,2,5",3,1.0,,,,,1.0,,,,,,,,,,,31380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111,2020.0,31200,1,0,0,4.0,0.0,132000.0,33000.0,4.0,2.0,28.0,9.0,1.0,"1,6",1,"4,11,2",3,1.0,,,,,1.0,,,,,,,,,,,31200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112,2020.0,31240,1,0,0,4.0,0.0,100000.0,25000.0,4.0,2.0,52.0,9.0,1.0,"1,6",1,"4,2",1,1.0,,,,,1.0,,,,,,,,,,,31240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1113,2020.0,31010,1,0,0,2.0,0.0,80000.0,40000.0,4.0,1.0,36.0,9.0,1.0,"2,6","6,1","4,8",3,,1.0,,,,1.0,,,,,,,,,,,31010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1114,2020.0,33030,1,0,0,4.0,1.0,150000.0,37500.0,4.0,1.0,45.0,9.0,1.0,"1,6",1,"13,1,4",1,1.0,,,,,1.0,,,,,,,,,,,33030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1115,2020.0,31370,1,0,0,2.0,0.0,100000.0,50000.0,4.0,2.0,27.0,10.0,1.0,"1,6",1,"4,5,2",3,1.0,,,,,1.0,,,,,,,,,,,31370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1116,2020.0,31200,1,0,0,2.0,0.0,70000.0,35000.0,4.0,1.0,29.0,10.0,1.0,"1,2,6",1,"4,8",3,1.0,1.0,,,,1.0,,,,,,,,,,,31200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1117,2020.0,31200,1,1,6,7.0,2.0,145002.0,31012.0,4.0,1.0,43.0,4.0,1.0,"1,6",1,"4,5","1,3",1.0,,,,,1.0,,,,,,,,,,,31200,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,
1118,2020.0,"38050,38050",2,1,3,4.0,0.0,470000.0,117500.0,5.0,2.0,52.0,4.0,1.0,"1,6",1,"2,11",3,1.0,,,,,1.0,,,,,,,,,,,38050,38050,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,
1119,2020.0,33360,1,0,0,2.0,0.0,80000.0,40000.0,4.0,2.0,28.0,4.0,1.0,"1,6",1,"2,4",3,1.0,,,,,1.0,,,,,,,,,,,33360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120,2020.0,"32020,32020",2,1,3,4.0,0.0,210000.0,52500.0,4.0,1.0,23.0,4.0,1.0,"1,6","6,5","4,2,6",3,1.0,,,,,1.0,,,,,,,,,,,32020,32020,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,
1121,2020.0,31130,1,0,0,3.0,0.0,80001.0,26667.0,4.0,2.0,46.0,4.0,1.0,6,1,"4,2",3,,,,,,1.0,,,,,,,,,,,31130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
