,sex,age,area,q1,q3,q6,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,target_q7
68,1.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,3.0,2.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,5.0,1.0,"강이나 계곡, 유원지 등"
69,2.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,5.0,1.0,3.0,1.0,2.0,1.0,5.0,1.0,1.0,온천 휴양지
70,1.0,3.0,6.0,1.0,1.0,1.0,3.0,5.0,2.0,3.0,2.0,3.0,1.0,3.0,5.0,2.0,1.0,6.0,3.0,1.0,온천 휴양지
71,2.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,6.0,2.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,기타
72,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,3.0,3.0,1.0,2.0,1.0,7.0,4.0,기타
73,1.0,2.0,6.0,1.0,1.0,1.0,2.0,2.0,2.0,5.0,3.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,5.0,1.0,"강이나 계곡, 유원지 등"
74,2.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,6.0,3.0,6.0,1.0,2.0,6.0,3.0,2.0,1.0,5.0,1.0,해수욕장이나 바다
75,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,1.0,6.0,1.0,온천 휴양지
76,2.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,1.0,1.0,1.0,"강이나 계곡, 유원지 등"
77,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,6.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,5.0,1.0,해수욕장이나 바다
78,2.0,2.0,3.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,6.0,5.0,4.0,4.0,3.0,2.0,2.0,6.0,9.0,해수욕장이나 바다
79,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,6.0,2.0,2.0,1.0,1.0,1.0,기타
80,1.0,2.0,6.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,해수욕장이나 바다
81,2.0,3.0,3.0,1.0,1.0,1.0,1.0,5.0,2.0,3.0,1.0,4.0,2.0,3.0,4.0,2.0,1.0,1.0,5.0,9.0,기타
82,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,1.0,2.0,1.0,5.0,1.0,"강이나 계곡, 유원지 등"
83,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,6.0,2.0,1.0,1.0,2.0,9.0,"강이나 계곡, 유원지 등"
84,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,4.0,4.0,2.0,1.0,1.0,5.0,1.0,해수욕장이나 바다
85,2.0,3.0,6.0,1.0,1.0,1.0,6.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,해수욕장이나 바다
86,1.0,2.0,7.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,해수욕장이나 바다
87,2.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,6.0,2.0,3.0,1.0,1.0,5.0,2.0,1.0,1.0,3.0,1.0,해수욕장이나 바다
88,1.0,4.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,2.0,7.0,4.0,3.0,6.0,2.0,2.0,1.0,5.0,4.0,해수욕장이나 바다
89,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,해수욕장이나 바다
90,2.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,5.0,3.0,1.0,해수욕장이나 바다
91,2.0,2.0,2.0,1.0,1.0,1.0,6.0,4.0,1.0,6.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,기타
92,2.0,2.0,4.0,1.0,1.0,1.0,4.0,5.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,2.0,1.0,2.0,5.0,1.0,온천 휴양지
93,2.0,3.0,4.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,기타
94,2.0,2.0,6.0,1.0,1.0,1.0,2.0,3.0,3.0,6.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,6.0,4.0,해수욕장이나 바다
